"","series","episode","uk_airdate","viewers_7day","viewers_28day","network_rank","channels_rank","bbc_iplayer_requests","episode_count","us_season","us_airdate","finale"
"1",1,6,2010-09-21,2.75,1,NA,NA,NA,6,NA,NA,TRUE
"2",2,8,2011-10-04,5.06,1,NA,NA,NA,14,NA,NA,TRUE
"3",3,10,2012-10-16,6.74,1,NA,NA,NA,24,5,NA,TRUE
"4",4,10,2013-10-22,9.45,1,4,NA,NA,34,1,"March 1, 2015",TRUE
"5",5,10,2014-10-08,13.51,1,1,NA,NA,44,2,"November 8, 2015",TRUE
"6",6,10,2015-10-07,15.05,15.16,1,1,1619000,54,3,"August 12, 2016",TRUE
"7",7,10,2016-10-26,15.9,16.03,1,1,1602000,64,4,"August 4, 2017",TRUE
"8",8,10,2017-10-31,10.04,10.13,1,4,NA,74,NA,NA,TRUE
"9",9,10,2018-10-30,10.34,10.54,1,2,NA,84,NA,NA,TRUE
"10",10,10,2019-10-29,10.05,10.21,1,3,NA,94,NA,NA,TRUE
